USER OVERVIEW
Total number of users registered     18
Total number of tasks                28
USER DETAILS
User, Total tasks,task completed, task not completed, percentage assigned to user,percentage completed,percentage still to complete,percent overdue
admin, 3, 1, 1, 10.71, 33.33, 33.33, 0.0
admin3, 4, 1, 3, 14.29, 25.0, 75.0, 33.33
admin2, 5, 2, 2, 17.86, 40.0, 40.0, 50.0
admin5, 3, 3, 4, 10.71, 100.0, 133.33, 25.0
admin6, 2, 0, 2, 7.14, 0.0, 100.0, 0.0
admin7, 1, 0, 1, 3.57, 0.0, 100.0, 0.0
admin45, 3, 2, 3, 10.71, 66.67, 100.0, 33.33
amin3, 1, 0, 1, 3.57, 0.0, 100.0, 0.0
admin4, 2, 2, 3, 7.14, 100.0, 150.0, 33.33
admin1, 1, 0, 1, 3.57, 0.0, 100.0, 0.0
admin9, 1, 0, 1, 3.57, 0.0, 100.0, 0.0
admin34, 1, 0, 1, 3.57, 0.0, 100.0, 100.0
admin89, 1, 0, 1, 3.57, 0.0, 100.0, 0.0
admin8, 0, 0, 0, 0, 0, 0, 0
admin10, 0, 0, 0, 0, 0, 0, 0
admin35, 0, 0, 0, 0, 0, 0, 0
admin80, 0, 0, 0, 0, 0, 0, 0
admin36, 0, 0, 0, 0, 0, 0, 0
admin13, 0, 0, 0, 0, 0, 0, 0
admin67, 0, 0, 0, 0, 0, 0, 0
admin88, 0, 0, 0, 0, 0, 0, 0
